gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
67,1.3702007802350031,12.17,10.87,0.46589096212615716,6.55,-17,-7,-5,-17,2015-07-26,12.17,11.2,10.3,10.87,209932977.0,2015-07-26,11.2,10.87,8.0,-10.0,-35.0,20.76,12.72,8.07,7.42,6.23,4.94,2.0,-6.0,-3.0,0.7513198452766514,0.17293640259716975,2.212225234899032,0.5058076104382927,8.0,10.0,8.0,-10.0,17.48,600293,67,0.0,31.665475339528236,23.120567375886523,8.76,11.0,13.57,-11.0,10.55
84,1.0006006152596885,15.6,14.09,0.29240634425993295,8.76,11,5,11,11,2015-11-22,11.45,10.97,10.0,10.53,100479641.0,2015-11-22,10.97,10.53,-17.0,8.0,-10.0,12.17,20.76,12.72,6.55,7.42,6.23,-7.0,2.0,-6.0,0.46589096212615716,0.7513198452766514,1.3702007802350031,2.212225234899032,-5.0,8.0,-17.0,8.0,11.2,600293,84,33.808167141500476,0.0,31.665475339528236,9.39,-11.0,13.03,6.0,11.1
95,0.4999662318509519,13.57,12.52,0.16528037428073125,9.39,-11,-5,9,-11,2016-02-07,12.22,11.11,9.26,10.14,72113679.0,2016-02-07,11.11,10.14,11.0,-17.0,8.0,15.6,12.17,20.76,8.76,6.55,7.42,5.0,-7.0,2.0,0.29240634425993295,0.46589096212615716,1.0006006152596885,1.3702007802350031,11.0,-5.0,11.0,-17.0,10.97,600293,95,23.471400394477303,33.808167141500476,0.0,10.55,6.0,12.6,-11.0,12.6
106,0.11457895566423626,13.03,12.01,0.04506656446136268,10.55,6,-2,6,6,2016-05-01,12.15,11.43,11.87,11.68,21834592.0,2016-05-01,11.43,11.68,-11.0,11.0,-17.0,13.57,15.6,12.17,9.39,8.76,6.55,-5.0,5.0,-7.0,0.16528037428073125,0.29240634425993295,0.4999662318509519,1.0006006152596885,9.0,11.0,-11.0,11.0,11.11,600293,106,2.825342465753433,23.471400394477303,33.808167141500476,11.1,-11.0,19.8,21.0,17.05
112,0.08935048483451624,12.6,12.25,0.031463680997624435,11.1,-11,-3,11,-11,2016-06-12,12.15,11.83,11.88,11.88,18165846.0,2016-06-12,11.83,11.88,6.0,-11.0,11.0,13.03,13.57,15.6,10.55,9.39,8.76,-2.0,-5.0,5.0,0.04506656446136268,0.16528037428073125,0.11457895566423626,0.4999662318509519,6.0,9.0,6.0,-11.0,11.43,600293,112,3.114478114478114,2.825342465753433,23.471400394477303,12.6,21.0,19.8,-10.0,
123,0.5486913438062524,19.8,18.31,0.18228213480328181,12.6,21,15,21,21,2016-08-28,13.12,12.79,12.53,12.29,35450165.0,2016-08-28,12.79,12.29,-11.0,6.0,-11.0,12.6,13.03,13.57,11.1,10.55,9.39,-3.0,-2.0,-5.0,0.031463680997624435,0.04506656446136268,0.08935048483451624,0.11457895566423626,11.0,6.0,-11.0,6.0,11.83,600293,123,48.98291293734744,3.114478114478114,2.825342465753433,17.05,-10.0,,,
144,0.3119367352994662,19.8,18.34,0.07822249252610353,17.05,-10,-10,10,-10,2017-01-29,18.14,17.48,18.14,17.5,3715029.0,2017-01-29,17.48,17.5,21.0,-11.0,6.0,19.8,12.6,13.03,12.6,11.1,10.55,15.0,-3.0,-2.0,0.18228213480328181,0.031463680997624435,0.5486913438062524,0.08935048483451624,21.0,11.0,21.0,-11.0,12.79,600293,144,4.800000000000004,48.98291293734744,3.114478114478114,,,,,
0,0.9794565853244166,19.91,17.17,0.2639992601532796,4.4,-58,-30,-16,-58,2014-10-05,4.4,4.4,4.4,4.4,450350.0,2014-10-05,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,600917,0,290.22727272727275,,,10.05,11.0,11.79,-12.0,8.92
58,0.5933782204508431,15.68,14.89,0.18649728305500096,10.05,11,7,9,11,2015-11-15,14.03,12.85,13.15,12.82,87717521.0,2015-11-15,12.85,12.82,-58.0,,,19.91,,,4.4,,,-30.0,,,0.2639992601532796,,0.9794565853244166,,-16.0,,-58.0,,4.4,600917,58,16.14664586583463,290.22727272727275,,8.45,-12.0,21.4,33.0,12.14
69,0.8382936563132205,11.79,10.86,0.2801042799815654,8.45,-12,-4,-12,-12,2016-01-31,10.72,8.45,10.55,8.5,25264929.0,2016-01-31,8.45,8.5,11.0,-58.0,,15.68,19.91,,10.05,4.4,,7.0,-30.0,,0.18649728305500096,0.2639992601532796,0.5933782204508431,0.9794565853244166,9.0,-16.0,11.0,-58.0,12.85,600917,69,27.764705882352935,16.14664586583463,290.22727272727275,8.92,33.0,15.5,-15.0,
81,0.8926136889159308,21.4,16.14,0.28379941822988647,8.92,33,21,-1,33,2016-05-01,10.45,9.94,10.05,9.94,21171185.0,2016-05-01,9.94,9.94,-12.0,11.0,-58.0,11.79,15.68,19.91,8.45,10.05,4.4,-4.0,7.0,-30.0,0.2801042799815654,0.18649728305500096,0.8382936563132205,0.5933782204508431,-12.0,9.0,-12.0,11.0,8.45,600917,81,62.37424547283703,27.764705882352935,16.14664586583463,12.14,-15.0,,,
